,S,A_unstable,A_stable,M_unstable,M_stable,A_stabilised,A_destabilised,A_infeasible,A_feasible,M_infeasible,M_feasible,A_made_feasible,A_made_infeasible
1,2,48,99952,48,99952,0,0,84205,15795,87052,12948,1875,4722
2,3,229,99771,231,99769,0,2,96628,3372,97840,2160,917,2129
3,4,701,99299,704,99296,0,3,99411,589,99725,275,179,493
4,5,1579,98421,1587,98413,0,8,99940,60,99980,20,18,58
5,6,3218,96782,3253,96747,6,41,99997,3,99999,1,1,3
6,7,5519,94481,5619,94381,23,123,100000,0,100000,0,0,0
7,8,9062,90938,9237,90763,77,252,100000,0,100000,0,0,0
8,9,13436,86564,13729,86271,230,523,100000,0,100000,0,0,0
9,10,18911,81089,19303,80697,505,897,100000,0,100000,0,0,0
10,11,25594,74406,25961,74039,1011,1378,100000,0,100000,0,0,0
11,12,33207,66793,33382,66618,1724,1899,100000,0,100000,0,0,0
12,13,41160,58840,41089,58911,2655,2584,100000,0,100000,0,0,0
13,14,50575,49425,49894,50106,3777,3096,100000,0,100000,0,0,0
14,15,59250,40750,57892,42108,4824,3466,100000,0,100000,0,0,0
15,16,67811,32189,65740,34260,5634,3563,100000,0,100000,0,0,0
16,17,75483,24517,73056,26944,5943,3516,100000,0,100000,0,0,0
17,18,82551,17449,79878,20122,5780,3107,100000,0,100000,0,0,0
18,19,88030,11970,85204,14796,5417,2591,100000,0,100000,0,0,0
19,20,92254,7746,89766,10234,4544,2056,100000,0,100000,0,0,0
20,21,95233,4767,93002,6998,3695,1464,100000,0,100000,0,0,0
21,22,97317,2683,95451,4549,2803,937,100000,0,100000,0,0,0
22,23,98508,1492,97122,2878,1991,605,100000,0,100000,0,0,0
23,24,99240,760,98407,1593,1216,383,100000,0,100000,0,0,0
24,25,99669,331,99082,918,739,152,100000,0,100000,0,0,0
25,26,99871,129,99490,510,452,71,100000,0,100000,0,0,0
26,27,99938,62,99732,268,240,34,100000,0,100000,0,0,0
27,28,99985,15,99888,112,108,11,100000,0,100000,0,0,0
28,29,99990,10,99951,49,46,7,100000,0,100000,0,0,0
29,30,100000,0,99981,19,19,0,100000,0,100000,0,0,0
30,31,100000,0,99993,7,7,0,100000,0,100000,0,0,0
31,32,100000,0,99996,4,4,0,100000,0,100000,0,0,0
32,33,100000,0,99998,2,2,0,100000,0,100000,0,0,0
33,34,100000,0,100000,0,0,0,100000,0,100000,0,0,0
…,…,…,…,…,…,…,…,…,…,…,…,…,…
49,50,100000,0,100000,0,0,0,100000,0,100000,0,0,0
